id,timestamp,user,text,country
1,2026-07-02T16:26:23.681000+00:00,ultras_worldcup3667,"I'm so proud of Colombia, this squad is something special. #colombia",CO
2,2026-07-02T17:01:20.367000+00:00,red_card_daily530,Uruguay looked absolutely world class tonight! #WorldCup2026 #uruguay,UY
3,2026-07-02T17:09:00.653000+00:00,football_lab3267,Canada looked absolutely world class tonight! #WorldCup2026 #canada,CA
4,2026-07-02T16:21:02.428000+00:00,ultras_worldcup7369,Post-match interview with the Sweden coach just dropped. #sweden,SE
5,2026-07-02T16:29:54.072000+00:00,midfield_maestro6934,Ireland vs opponent later — should be a tight match. #WorldCup2026 #ireland,IE
6,2026-07-02T16:47:18.517000+00:00,soccer_geek1529,"I'm so proud of Ireland, this squad is something special. #ireland",IE
7,2026-07-02T16:44:32.101000+00:00,matchday_721,"I'm so proud of Chile, this squad is something special. #chile",CL
8,2026-07-02T16:20:04.915000+00:00,pitch_side9054,"Panama are the real deal, no debate. #WorldCup2026 #panama",PA
9,2026-07-02T16:50:35.953000+00:00,keeper_legend1149,"Honestly, Spain were poor today, no excuses. #spain",ES
10,2026-07-02T17:07:53.430000+00:00,pitch_side3824,"I'm so proud of Switzerland, this squad is something special. #switzerland",CH
11,2026-07-02T17:04:02.001000+00:00,midfield_maestro6075,"I'm so proud of Morocco, this squad is something special. #morocco",MA
12,2026-07-02T16:46:15.518000+00:00,pitch_side9990,"France looked tired and slow, big problems ahead. #WorldCup2026 #france",FR
13,2026-07-02T16:26:42.340000+00:00,midfield_maestro7583,"What a performance from Ecuador, take a bow. #FIFAWorldCup #ecuador",EC
14,2026-07-02T16:44:34.080000+00:00,ultras_worldcup5323,Fan zone is packed ahead of the Ireland game! #WorldCup2026 #ireland,IE
15,2026-07-02T16:12:10.454000+00:00,tifo_maker6582,Brazil looked absolutely world class tonight! #WorldCup2026 #brazil,BR
16,2026-07-02T16:52:22.645000+00:00,keeper_legend8189,"I'm so proud of Cameroon, this squad is something special. #cameroon",CM
17,2026-07-02T16:43:26.231000+00:00,striker_994050,"I'm so proud of Sweden, this squad is something special. #sweden",SE
18,2026-07-02T16:19:00.921000+00:00,fifty_fifty5940,"Saudi Arabia are the real deal, no debate. #WorldCup2026 #saudiarabia",SA
19,2026-07-02T16:55:45.734000+00:00,goal_hunter1806,Croatia looked absolutely world class tonight! #WorldCup2026 #croatia,HR
20,2026-07-02T17:00:24.569000+00:00,pitch_side6314,"Spain are the real deal, no debate. #WorldCup2026 #spain",ES
21,2026-07-02T16:44:25.004000+00:00,matchday_9074,Fan zone is packed ahead of the Serbia game! #WorldCup2026 #serbia,RS
22,2026-07-02T17:10:17.477000+00:00,matchday_5583,Fan zone is packed ahead of the Tunisia game! #WorldCup2026 #tunisia,TN
23,2026-07-02T17:03:17.748000+00:00,fan_20264325,"Italy are the real deal, no debate. #WorldCup2026 #italy",IT
24,2026-07-02T16:36:06.021000+00:00,kit_collector8327,Egypt looked absolutely world class tonight! #WorldCup2026 #egypt,EG
25,2026-07-02T16:28:31.425000+00:00,football_lab8699,"What a performance from England, take a bow. #FIFAWorldCup #england",GB
26,2026-07-02T17:11:03.233000+00:00,soccer_geek5957,Serbia looked absolutely world class tonight! #WorldCup2026 #serbia,RS
27,2026-07-02T16:12:57.373000+00:00,pitch_side1413,"What a performance from Ivory Coast, take a bow. #FIFAWorldCup #ivorycoast",CI
28,2026-07-02T16:19:55.789000+00:00,striker_992113,Fan zone is packed ahead of the Peru game! #WorldCup2026 #peru,PE
29,2026-07-02T16:24:58.436000+00:00,matchday_8655,"Watching Paraguay train, the vibes are good. #paraguay",PY
30,2026-07-02T16:28:41.392000+00:00,keeper_legend5117,Fan zone is packed ahead of the Nigeria game! #WorldCup2026 #nigeria,NG
31,2026-07-02T16:43:12.137000+00:00,kitbag_7407,"Honestly, Switzerland were poor today, no excuses. #switzerland",CH
32,2026-07-02T17:02:38.103000+00:00,fan_20269648,"I'm so proud of Ghana, this squad is something special. #ghana",GH
33,2026-07-02T16:32:22.316000+00:00,pitch_side974,Germany need to sort their defence out fast. #WorldCup2026 #germany,DE
34,2026-07-02T16:55:05.380000+00:00,pitch_side8433,"Cameroon arriving at the stadium, crowd going wild. #FIFAWorldCup #cameroon",CM
35,2026-07-02T16:54:27.368000+00:00,football_lab2177,Ireland need to sort their defence out fast. #WorldCup2026 #ireland,IE
36,2026-07-02T16:20:31.671000+00:00,touchline_6679,Scotland need to sort their defence out fast. #WorldCup2026 #scotland,GB
37,2026-07-02T16:57:46.994000+00:00,var_facts6949,"Chile are the real deal, no debate. #WorldCup2026 #chile",CL
38,2026-07-02T16:42:21.344000+00:00,soccer_geek1003,Panama vs opponent later — should be a tight match. #WorldCup2026 #panama,PA
39,2026-07-02T16:42:56.915000+00:00,ultras_worldcup3149,United States looked absolutely world class tonight! #WorldCup2026 #unitedstates,US
40,2026-07-02T16:57:47.838000+00:00,midfield_maestro4573,"Qatar are the real deal, no debate. #WorldCup2026 #qatar",QA
41,2026-07-02T16:38:45.229000+00:00,world_cup_diary9026,Ghana vs opponent later — should be a tight match. #WorldCup2026 #ghana,GH
42,2026-07-02T17:04:14.973000+00:00,fan_20261538,"Brazil looked tired and slow, big problems ahead. #WorldCup2026 #brazil",BR
43,2026-07-02T16:18:24.949000+00:00,touchline_3512,"Ghana are the real deal, no debate. #WorldCup2026 #ghana",GH
44,2026-07-02T16:43:03.547000+00:00,fifty_fifty4355,Brazil looked absolutely world class tonight! #WorldCup2026 #brazil,BR
45,2026-07-02T16:16:17.001000+00:00,striker_993121,"Panama are the real deal, no debate. #WorldCup2026 #panama",PA
46,2026-07-02T16:50:21.149000+00:00,football_lab1008,Fan zone is packed ahead of the France game! #WorldCup2026 #france,FR
47,2026-07-02T16:18:48.395000+00:00,kitbag_8711,"Jamaica are the real deal, no debate. #WorldCup2026 #jamaica",JM
48,2026-07-02T17:00:05.311000+00:00,midfield_maestro1132,Brazil vs opponent later — should be a tight match. #WorldCup2026 #brazil,BR
49,2026-07-02T16:29:29.873000+00:00,fifty_fifty1974,Cameroon need to sort their defence out fast. #WorldCup2026 #cameroon,CM
50,2026-07-02T16:31:16.240000+00:00,pitch_side6878,Ghana need to sort their defence out fast. #WorldCup2026 #ghana,GH
51,2026-07-02T16:25:08.409000+00:00,matchday_3356,"Honestly, Senegal were poor today, no excuses. #senegal",SN
52,2026-07-02T16:24:16.597000+00:00,fifty_fifty2154,"I'm so proud of Ukraine, this squad is something special. #ukraine",UA
53,2026-07-02T16:24:08.359000+00:00,pitch_side162,"I'm so proud of Sweden, this squad is something special. #sweden",SE
54,2026-07-02T16:39:03.443000+00:00,pitch_side8818,South Korea vs opponent later — should be a tight match. #WorldCup2026 #southkorea,KR
55,2026-07-02T16:56:11.598000+00:00,pitch_side4012,"I'm so proud of Poland, this squad is something special. #poland",PL
56,2026-07-02T16:45:15.723000+00:00,kitbag_138,"I'm so proud of Italy, this squad is something special. #italy",IT
57,2026-07-02T16:24:24.410000+00:00,striker_994343,Saudi Arabia looked absolutely world class tonight! #WorldCup2026 #saudiarabia,SA
58,2026-07-02T17:03:01.489000+00:00,matchday_4626,"Watching Chile train, the vibes are good. #chile",CL
59,2026-07-02T16:28:48.791000+00:00,matchday_8290,"Watching France train, the vibes are good. #france",FR
60,2026-07-02T16:36:56.580000+00:00,pitch_side6949,Iran vs opponent later — should be a tight match. #WorldCup2026 #iran,IR
61,2026-07-02T16:13:07.093000+00:00,striker_994301,"I'm so proud of Ireland, this squad is something special. #ireland",IE
62,2026-07-02T16:59:47.908000+00:00,football_lab168,"Uruguay are the real deal, no debate. #WorldCup2026 #uruguay",UY
63,2026-07-02T17:03:16.398000+00:00,football_lab600,"Watching Cameroon train, the vibes are good. #cameroon",CM
64,2026-07-02T16:12:45.086000+00:00,red_card_daily2098,Mexico need to sort their defence out fast. #WorldCup2026 #mexico,MX
65,2026-07-02T17:08:10.189000+00:00,var_facts3451,Ivory Coast looked absolutely world class tonight! #WorldCup2026 #ivorycoast,CI
66,2026-07-02T16:23:24.836000+00:00,football_lab6668,"Honestly, Ghana were poor today, no excuses. #ghana",GH
67,2026-07-02T16:27:42.388000+00:00,midfield_maestro2910,"What a performance from Uruguay, take a bow. #FIFAWorldCup #uruguay",UY
68,2026-07-02T16:42:16.343000+00:00,red_card_daily4075,"I'm so proud of Australia, this squad is something special. #australia",AU
69,2026-07-02T16:52:26.567000+00:00,fifty_fifty644,Ecuador vs opponent later — should be a tight match. #WorldCup2026 #ecuador,EC
70,2026-07-02T16:38:11.414000+00:00,var_facts5010,"Germany are the real deal, no debate. #WorldCup2026 #germany",DE
71,2026-07-02T16:13:44.052000+00:00,fifty_fifty5388,"What a performance from Germany, take a bow. #FIFAWorldCup #germany",DE
72,2026-07-02T16:51:37.086000+00:00,var_facts8356,"Cameroon arriving at the stadium, crowd going wild. #FIFAWorldCup #cameroon",CM
73,2026-07-02T16:43:09.259000+00:00,tifo_maker462,Fan zone is packed ahead of the Tunisia game! #WorldCup2026 #tunisia,TN
74,2026-07-02T17:03:01.853000+00:00,goal_hunter1786,"I'm so proud of Iran, this squad is something special. #iran",IR
75,2026-07-02T16:29:23.430000+00:00,red_card_daily9942,"I'm so proud of Nigeria, this squad is something special. #nigeria",NG
76,2026-07-02T16:35:20.568000+00:00,matchday_737,"What a performance from Colombia, take a bow. #FIFAWorldCup #colombia",CO
